AS1G OO  EHZ I U
AS2G OO  EHZ I U
EC1G OO  EHZ I D
EC2G OO  HHZ I D
EC3G OO  EHZ I U
ID1G OO  EHZ I U
                                                                    112 
20161028224927.0245N56.07130W 0.11 1.00  0.30  0.20 1.00            113 
AS1A OO  EHZ I D
AS2A OO  EHZ I U
CC1A OO  HHZ I D
EC1A OO  EHZ I D
EC2A OO  HHZ I D
EC3A OO  EHZ I D
ID1A OO  EHZ I U
AS1B OO  EHZ I D
CC1B OO  HHZ I D
EC1B OO  EHZ I D
EC2B OO  HHZ I D
EC3B OO  EHZ I D
ID1B OO  EHZ I U
AS1C OO  EHZ I D
AS2C OO  EHZ I U
CC1C OO  HHZ I D
EC1C OO  EHZ I D
EC2C OO  HHZ I D
ID1C OO  EHZ I U
AS1D OO  EHZ I D
AS2D OO  EHZ I U
CC1D OO  HHZ I D
EC1D OO  EHZ I D
EC2D OO  HHZ I D
EC3D OO  EHZ I D
AS1E OO  EHZ I D
AS2E OO  EHZ I U
CC1E OO  HHZ I D
EC1E OO  EHZ I D
EC2E OO  HHZ I D
EC3E OO  EHZ I D
ID1E OO  EHZ I U
AS1F OO  EHZ I D
AS2F OO  EHZ I U
CC1F OO  HHZ I D
EC1F OO  EHZ I D
EC2F OO  HHZ I D
EC3F OO  EHZ I D
ID1F OO  EHZ I U
AS1G OO  EHZ I D
AS2G OO  EHZ I U
CC1G OO  HHZ I D
EC1G OO  EHZ I D
EC2G OO  HHZ I D
EC3G OO  EHZ I D
                                                                    113 
2018 1252021 1.8045N56.19130W 0.55 1.11  0.30  0.20 1.00            114 
AS1A OO  EHZ I U
AS2A OO  EHZ I U
CC1A OO  HHZ I U
EC1A OO  EHZ I U
EC2A OO  HHZ I U
EC3A OO  EHZ I D
ID1A OO  EHZ I D
AS1B OO  EHZ I U
AS2B OO  EHZ I U
CC1B OO  HHZ I U
EC1B OO  EHZ I U
EC2B OO  HHZ I U
EC3B OO  EHZ I D
AS1C OO  EHZ I U
AS2C OO  EHZ I U
CC1C OO  HHZ I U
EC1C OO  EHZ I U
EC2C OO  HHZ I U
EC3C OO  EHZ I D
ID1C OO  EHZ I D
AS1D OO  EHZ I U
AS2D OO  EHZ I U
CC1D OO  HHZ I U
EC1D OO  EHZ I U
EC2D OO  HHZ I U
EC3D OO  EHZ I D
AS1E OO  EHZ I U
AS2E OO  EHZ I U
EC1E OO  EHZ I U
EC2E OO  HHZ I U
EC3E OO  EHZ I D
ID1E OO  EHZ I D
AS1F OO  EHZ I U
AS2F OO  EHZ I U
CC1F OO  HHZ I U
EC1F OO  EHZ I U
EC2F OO  HHZ I U
EC3F OO  EHZ I D
AS1G OO  EHZ I U
AS2G OO  EHZ I U
CC1G OO  HHZ I U
EC1G OO  EHZ I U
EC2G OO  HHZ I U
EC3G OO  EHZ I D
                                                                    114 
20161031203240.3545N58.28130W 0.02 1.85  0.30  0.20 1.00            115 
AS1A OO  EHZ I D
AS2A OO  EHZ I U
CC1A OO  HHZ I D
EC1A OO  EHZ I D
EC2A OO  HHZ I D
EC3A OO  EHZ I D
ID1A OO  EHZ I D
AS2B OO  EHZ I U
CC1B OO  HHZ I D
EC1B OO  EHZ I D
EC2B OO  HHZ I D
EC3B OO  EHZ I D
ID1B OO  EHZ I D
AS1C OO  EHZ I D
AS2C OO  EHZ I U
CC1C OO  HHZ I D
EC1C OO  EHZ I D
EC2C OO  HHZ I D
EC3C OO  EHZ I D
ID1C OO  EHZ I D
AS1D OO  EHZ I D
AS2D OO  EHZ I U
CC1D OO  HHZ I D
EC1D OO  EHZ I D
EC2D OO  HHZ I D
EC3D OO  EHZ I D
AS1E OO  EHZ I D
AS2E OO  EHZ I U
CC1E OO  HHZ I D
EC1E OO  EHZ I D
EC3E OO  EHZ I D
ID1E OO  EHZ I D
AS1F OO  EHZ I D
AS2F OO  EHZ I U
CC1F OO  HHZ I D
EC1F OO  EHZ I D
EC2F OO  HHZ I D
EC3F OO  EHZ I D
AS1G OO  EHZ I D
AS2G OO  EHZ I U
CC1G OO  HHZ I D
EC1G OO  EHZ I D
EC2G OO  HHZ I D
EC3G OO  EHZ I D
ID1G OO  EHZ I D
                                                                    115 
2016 929 049 7.0945N56.71129W59.11 1.22  0.30  0.20 1.00            116 
AS1A OO  EHZ I U
AS2A OO  EHZ I U
CC1A OO  HHZ I U
EC1A OO  EHZ I D
EC2A OO  HHZ I D
EC3A OO  EHZ I D
ID1A OO  EHZ I D
AS1B OO  EHZ I U
AS2B OO  EHZ I U
CC1B OO  HHZ I U
EC1B OO  EHZ I D
EC2B OO  HHZ I D
EC3B OO  EHZ I D
